epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,34605.2,0.81902,2.71942,0.21786,0.55234,1.23752,0.9751,0.97515,0.99123,0.88099,0.86949,0.83122,0.86259,0.72421,0.60957,1.82702,0.04228,0.29963,1.0142,0.004258,0.004258,0.004258
89,35003.2,0.82223,2.75193,0.22016,0.55569,1.23775,0.97473,0.9754,0.99124,0.88157,0.86954,0.8307,0.86243,0.7246,0.60843,1.82499,0.04218,0.29944,1.01344,0.004192,0.004192,0.004192
90,35463.7,0.81438,2.72012,0.2195,0.54812,1.23395,0.97491,0.97566,0.99129,0.88203,0.87165,0.83025,0.86276,0.72503,0.60722,1.82257,0.04215,0.29852,1.01252,0.004126,0.004126,0.004126
91,35924.3,0.81361,2.70787,0.21887,0.55029,1.23236,0.9748,0.97566,0.9913,0.88266,0.87247,0.83087,0.86314,0.72544,0.60605,1.81912,0.04207,0.29786,1.01174,0.00406,0.00406,0.00406
92,36374.2,0.80963,2.63933,0.21612,0.54203,1.23003,0.97406,0.97655,0.99131,0.88278,0.8722,0.83061,0.86308,0.72635,0.6053,1.81522,0.04194,0.29719,1.01116,0.003994,0.003994,0.003994
93,36796.2,0.8067,2.66511,0.21545,0.54374,1.22738,0.97481,0.97642,0.99131,0.88311,0.87279,0.83061,0.86325,0.72674,0.6048,1.81494,0.04182,0.29681,1.01068,0.003928,0.003928,0.003928
94,37234.4,0.8028,2.62215,0.21552,0.54098,1.2262,0.97469,0.97668,0.99133,0.88341,0.87342,0.83166,0.86385,0.72705,0.6045,1.81068,0.0417,0.29654,1.01041,0.003862,0.003862,0.003862
95,37670.7,0.80481,2.65448,0.21559,0.54371,1.22959,0.97477,0.97668,0.99135,0.88329,0.87379,0.83201,0.86429,0.72748,0.60381,1.80907,0.04157,0.29617,1.00996,0.003796,0.003796,0.003796
96,38109,0.80725,2.64027,0.21628,0.54438,1.22992,0.97409,0.97681,0.99134,0.88391,0.87364,0.83262,0.86445,0.72772,0.6031,1.80693,0.04148,0.29559,1.00958,0.00373,0.00373,0.00373
97,38547.9,0.80503,2.64299,0.21488,0.54422,1.22775,0.97407,0.97677,0.99135,0.88423,0.87398,0.83242,0.86456,0.72901,0.602,1.80418,0.04136,0.29523,1.00884,0.003664,0.003664,0.003664
98,38985.8,0.80119,2.62852,0.21398,0.53878,1.22562,0.9743,0.97642,0.99135,0.88453,0.87265,0.83311,0.86436,0.72863,0.60072,1.80292,0.04125,0.29469,1.00812,0.003598,0.003598,0.003598
99,39383.4,0.80117,2.62547,0.21342,0.54108,1.2246,0.97456,0.97624,0.99138,0.88496,0.87264,0.83388,0.86441,0.72892,0.59942,1.80189,0.0412,0.29429,1.00734,0.003532,0.003532,0.003532
