epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,52953.5,0.58178,2.34373,0.21342,0.35506,1.0498,0.97455,0.98178,0.99188,0.90477,0.88325,0.85587,0.87732,0.74456,0.51436,1.69299,0.04324,0.25268,0.95501,0.002179,0.002179,0.002179
81,53224.9,0.58427,2.35549,0.21332,0.35567,1.05155,0.97469,0.98133,0.99187,0.90479,0.88298,0.85583,0.87708,0.74483,0.5137,1.69047,0.04311,0.25233,0.95453,0.00208,0.00208,0.00208
82,53516.2,0.57859,2.32538,0.21346,0.35418,1.04742,0.97469,0.98156,0.99187,0.90509,0.88313,0.85587,0.87718,0.7449,0.51309,1.6877,0.04299,0.252,0.95413,0.001981,0.001981,0.001981
83,53815.9,0.57825,2.30382,0.21241,0.35244,1.04687,0.97456,0.98241,0.99187,0.90532,0.8842,0.85629,0.87768,0.74552,0.51247,1.68358,0.04284,0.2515,0.95373,0.001882,0.001882,0.001882
84,54112.2,0.57845,2.31066,0.2108,0.35269,1.04837,0.97399,0.98324,0.9919,0.90555,0.88494,0.85676,0.87832,0.7458,0.51181,1.68047,0.04272,0.25139,0.95321,0.001783,0.001783,0.001783
85,54401.5,0.57405,2.27558,0.20885,0.34766,1.04518,0.97375,0.98319,0.99191,0.90566,0.88496,0.85753,0.87866,0.74661,0.51121,1.67717,0.0426,0.25125,0.9527,0.001684,0.001684,0.001684
86,54694.1,0.56886,2.22887,0.20865,0.34366,1.04079,0.9752,0.98216,0.99191,0.90571,0.88542,0.85774,0.87897,0.74702,0.51064,1.67376,0.04241,0.25081,0.95225,0.001585,0.001585,0.001585
87,54985.7,0.57005,2.23393,0.20668,0.3468,1.04293,0.975,0.98229,0.99191,0.90607,0.88669,0.85766,0.87949,0.7478,0.51003,1.67018,0.04232,0.25027,0.95182,0.001486,0.001486,0.001486
88,55277.6,0.56262,2.20363,0.20826,0.33942,1.04005,0.9752,0.98231,0.99193,0.90642,0.88753,0.85785,0.87995,0.74822,0.50938,1.66658,0.04231,0.25004,0.95132,0.001387,0.001387,0.001387
89,55568.6,0.56394,2.22288,0.20733,0.34225,1.03998,0.9752,0.98218,0.9919,0.90683,0.88758,0.85778,0.87993,0.7485,0.50866,1.66248,0.04219,0.24993,0.95079,0.001288,0.001288,0.001288
90,55859.7,0.56414,2.19137,0.20686,0.34146,1.04104,0.97496,0.98231,0.99193,0.90672,0.88741,0.85829,0.88018,0.74926,0.508,1.65862,0.0421,0.24954,0.95023,0.001189,0.001189,0.001189
91,56179.7,0.46038,1.63776,0.06908,0.24985,0.98225,0.97544,0.982,0.99193,0.90703,0.8878,0.85867,0.88061,0.7498,0.50717,1.65361,0.04171,0.24902,0.94965,0.00109,0.00109,0.00109
92,56461.9,0.45159,1.58463,0.06404,0.24349,0.97511,0.97572,0.9819,0.99191,0.90775,0.88942,0.86,0.8815,0.75065,0.50613,1.64795,0.04128,0.2487,0.9488,0.000991,0.000991,0.000991
93,56745.9,0.44411,1.54921,0.06419,0.23926,0.97049,0.97476,0.98254,0.99194,0.90817,0.89058,0.86092,0.88176,0.75166,0.50518,1.64225,0.04083,0.24837,0.94802,0.000892,0.000892,0.000892
94,57029.4,0.43769,1.51285,0.06255,0.23356,0.96729,0.9756,0.98241,0.99196,0.90856,0.8905,0.86109,0.8823,0.75279,0.504,1.6371,0.04037,0.24764,0.94713,0.000793,0.000793,0.000793
95,57313.3,0.43285,1.48792,0.06089,0.23079,0.96543,0.97556,0.98241,0.99196,0.90883,0.89123,0.86364,0.88322,0.7536,0.50293,1.63203,0.03992,0.24667,0.94628,0.000694,0.000694,0.000694
96,57597.1,0.43095,1.46988,0.06092,0.22982,0.96252,0.97558,0.98241,0.99199,0.90909,0.89263,0.8635,0.88536,0.7549,0.5019,1.62597,0.03945,0.24602,0.94551,0.000595,0.000595,0.000595
97,57879.5,0.42587,1.4518,0.05969,0.22718,0.96,0.97573,0.98241,0.99201,0.90922,0.89249,0.86428,0.88624,0.7556,0.50074,1.62029,0.03902,0.24535,0.94464,0.000496,0.000496,0.000496
98,58162.7,0.42186,1.42365,0.06064,0.225,0.9578,0.97558,0.98275,0.99201,0.90969,0.89438,0.86645,0.88947,0.75707,0.49966,1.61466,0.0386,0.2448,0.94377,0.000397,0.000397,0.000397
99,58445.3,0.41882,1.40932,0.06013,0.22316,0.95672,0.97557,0.98331,0.99207,0.90987,0.89472,0.86752,0.89036,0.75824,0.49844,1.60982,0.03817,0.24393,0.9429,0.000298,0.000298,0.000298
100,58697.4,0.41581,1.38913,0.05804,0.21939,0.95358,0.97555,0.98331,0.99206,0.91032,0.89528,0.86887,0.89105,0.75924,0.49731,1.60503,0.03777,0.24324,0.94199,0.000199,0.000199,0.000199
